epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.911,2.04741,2.18444,1.66777,0.89657,0.3261,0.38339,0.19493,1.61083,1.33121,1.3979,0.000415052,0.000415052,0.000415052
2,449.722,1.6156,1.23074,1.34929,0.7641,0.46212,0.49955,0.26068,1.52394,1.05889,1.36102,0.00081525,0.00081525,0.00081525
3,672.739,1.53351,1.05522,1.29611,0.81042,0.47814,0.5318,0.29392,1.43033,0.9422,1.29536,0.00119895,0.00119895,0.00119895
4,895.735,1.48906,0.96216,1.27507,0.58867,0.5655,0.60373,0.34788,1.35925,0.87497,1.26405,0.00117575,0.00117575,0.00117575
5,1118.53,1.444,0.89379,1.25065,0.80316,0.57217,0.62885,0.3489,1.44687,0.81814,1.27153,0.001151,0.001151,0.001151
6,1341.18,1.40489,0.84713,1.23023,0.74304,0.60375,0.64486,0.37966,1.29766,0.75879,1.21173,0.00112625,0.00112625,0.00112625
7,1563.85,1.39708,0.82863,1.22575,0.74551,0.59324,0.66165,0.3874,1.28789,0.72704,1.2011,0.0011015,0.0011015,0.0011015
8,1786.59,1.3634,0.79281,1.20728,0.67532,0.60623,0.65235,0.38281,1.26137,0.70826,1.17616,0.00107675,0.00107675,0.00107675
9,2009.24,1.34465,0.77434,1.19665,0.75283,0.61755,0.67735,0.4265,1.21106,0.68298,1.16251,0.001052,0.001052,0.001052
10,2231.79,1.32725,0.75554,1.18574,0.78186,0.65914,0.69315,0.43119,1.22094,0.66148,1.15969,0.00102725,0.00102725,0.00102725
11,2454.48,1.31068,0.74175,1.1813,0.8278,0.63995,0.70694,0.43339,1.22076,0.68483,1.1673,0.0010025,0.0010025,0.0010025
12,2677.21,1.30096,0.72825,1.1737,0.7849,0.67319,0.71904,0.45391,1.1852,0.62847,1.1396,0.00097775,0.00097775,0.00097775
13,2899.88,1.28449,0.71498,1.16749,0.75267,0.62443,0.67844,0.41138,1.2274,0.65742,1.15757,0.000953,0.000953,0.000953
14,3122.38,1.26675,0.70273,1.15889,0.76022,0.70396,0.72188,0.46009,1.16304,0.62541,1.12612,0.00092825,0.00092825,0.00092825
15,3345.2,1.26608,0.6947,1.15552,0.81564,0.68328,0.73154,0.45215,1.22374,0.66483,1.16172,0.0009035,0.0009035,0.0009035
16,3568.63,1.25398,0.68746,1.14671,0.84249,0.69277,0.74375,0.47767,1.13803,0.5971,1.11152,0.00087875,0.00087875,0.00087875
17,3791.71,1.23968,0.67726,1.13874,0.78458,0.7,0.74429,0.48194,1.14123,0.60048,1.11999,0.000854,0.000854,0.000854
18,4015.15,1.22865,0.67177,1.13192,0.83892,0.67743,0.74027,0.4768,1.14648,0.60309,1.11007,0.00082925,0.00082925,0.00082925
19,4238.04,1.21799,0.66317,1.12633,0.91851,0.67938,0.7631,0.49632,1.12929,0.57284,1.09635,0.0008045,0.0008045,0.0008045
20,4461.3,1.21989,0.65343,1.12438,0.82708,0.72958,0.7751,0.51328,1.10726,0.56291,1.08563,0.00077975,0.00077975,0.00077975
21,4683.92,1.20824,0.65079,1.1173,0.82195,0.72813,0.77326,0.50999,1.10738,0.57409,1.08152,0.000755,0.000755,0.000755
22,4906.64,1.19738,0.64501,1.11184,0.82976,0.727,0.77203,0.49728,1.16498,0.57705,1.11735,0.00073025,0.00073025,0.00073025
23,5129.6,1.19281,0.63463,1.10346,0.87902,0.72218,0.7795,0.51166,1.10557,0.55394,1.07786,0.0007055,0.0007055,0.0007055
24,5353.34,1.18122,0.62996,1.09964,0.90492,0.71532,0.78495,0.52605,1.0799,0.53469,1.06665,0.00068075,0.00068075,0.00068075
25,5576.08,1.17319,0.62263,1.09314,0.9094,0.71398,0.78556,0.52225,1.07925,0.5344,1.05781,0.000656,0.000656,0.000656
26,5799.08,1.16383,0.61676,1.08698,0.84526,0.73935,0.78546,0.53082,1.06399,0.53524,1.0568,0.00063125,0.00063125,0.00063125
27,6021.9,1.16955,0.61699,1.08917,0.87458,0.73246,0.79578,0.53249,1.07109,0.52674,1.05609,0.0006065,0.0006065,0.0006065
28,6245.51,1.15519,0.60947,1.07813,0.84021,0.75083,0.79837,0.5346,1.04995,0.52623,1.04614,0.00058175,0.00058175,0.00058175
29,6468.64,1.15121,0.60338,1.07746,0.88909,0.74369,0.80123,0.53334,1.07591,0.52226,1.05287,0.000557,0.000557,0.000557
30,6691.68,1.14496,0.59794,1.07557,0.89743,0.7403,0.80291,0.54063,1.04943,0.50823,1.03447,0.00053225,0.00053225,0.00053225
31,6914.72,1.13826,0.59574,1.06747,0.88263,0.74523,0.79842,0.54155,1.05547,0.50771,1.03558,0.0005075,0.0005075,0.0005075
32,7137.89,1.12676,0.58701,1.06389,0.84768,0.77373,0.80965,0.54075,1.04392,0.50716,1.03123,0.00048275,0.00048275,0.00048275
33,7361.65,1.11715,0.58132,1.0604,0.85524,0.75807,0.80944,0.54766,1.03156,0.50391,1.0324,0.000458,0.000458,0.000458
34,7585.46,1.12283,0.5846,1.0596,0.84536,0.75583,0.80263,0.54314,1.02291,0.49416,1.02254,0.00043325,0.00043325,0.00043325
35,7808.6,1.11759,0.58175,1.05878,0.84477,0.78116,0.81333,0.55559,1.02232,0.49206,1.02221,0.0004085,0.0004085,0.0004085
36,8031.18,1.10582,0.57209,1.05511,0.86879,0.76937,0.81093,0.55336,1.01984,0.49497,1.02576,0.00038375,0.00038375,0.00038375
37,8253.8,1.10566,0.57044,1.05157,0.85228,0.77235,0.81478,0.55139,1.02319,0.48789,1.02019,0.000359,0.000359,0.000359
38,8476.69,1.1026,0.56787,1.05184,0.87139,0.7758,0.81468,0.55892,1.01706,0.48599,1.01848,0.00033425,0.00033425,0.00033425
39,8699.48,1.09099,0.56525,1.04975,0.86015,0.78016,0.81772,0.56488,1.00885,0.47603,1.0125,0.0003095,0.0003095,0.0003095
40,8922.31,1.0904,0.55903,1.04373,0.85888,0.78253,0.81506,0.5648,1.00096,0.47641,1.01059,0.00028475,0.00028475,0.00028475
41,9140.77,1.02394,0.50439,1.02299,0.83644,0.77333,0.80767,0.54772,1.02647,0.49231,1.02459,0.00026,0.00026,0.00026
42,9359.26,1.00377,0.49042,1.01472,0.87772,0.76424,0.80692,0.55669,1.00806,0.47984,1.01443,0.00023525,0.00023525,0.00023525
43,9577.52,0.99264,0.48397,1.00808,0.85228,0.7768,0.8166,0.56225,0.99947,0.47663,1.00965,0.0002105,0.0002105,0.0002105
44,9796.58,0.98736,0.47967,1.00643,0.86661,0.79433,0.81937,0.56756,0.9961,0.47321,1.00795,0.00018575,0.00018575,0.00018575
45,10014.8,0.97623,0.47401,1.00142,0.87341,0.7856,0.82058,0.56831,0.99633,0.47025,1.00948,0.000161,0.000161,0.000161
46,10233.1,0.96737,0.47127,0.99689,0.88931,0.77565,0.8184,0.56795,0.9922,0.47105,1.00717,0.00013625,0.00013625,0.00013625
47,10451.6,0.96335,0.46645,0.99585,0.87497,0.78448,0.82316,0.57124,0.98249,0.46325,1.00224,0.0001115,0.0001115,0.0001115
48,10670.5,0.95484,0.46362,0.99111,0.9,0.78489,0.82832,0.57429,0.98457,0.46151,1.00152,8.675e-05,8.675e-05,8.675e-05
49,10888.7,0.94456,0.45884,0.98728,0.87152,0.79548,0.82686,0.57443,0.9838,0.46339,1.0024,6.2e-05,6.2e-05,6.2e-05
50,11106.9,0.94439,0.45837,0.98767,0.87294,0.79852,0.82812,0.57503,0.97809,0.45893,0.99942,3.725e-05,3.725e-05,3.725e-05
