epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.66,1.65292,1.85173,1.3451,0.78351,0.49432,0.52035,0.29694,1.34361,0.98963,1.16271,0.000415052,0.000415052,0.000415052
2,437.365,1.48382,1.0614,1.2319,0.67391,0.60975,0.62693,0.36504,1.29234,0.84255,1.14434,0.00081525,0.00081525,0.00081525
3,655.075,1.45273,0.97572,1.22009,0.68277,0.61514,0.63937,0.36113,1.42512,0.82006,1.22216,0.00119895,0.00119895,0.00119895
4,872.851,1.42575,0.91066,1.21145,0.8607,0.60459,0.67618,0.38885,1.31561,0.73495,1.16673,0.00117575,0.00117575,0.00117575
5,1090.51,1.3958,0.85865,1.19521,0.80365,0.64947,0.69637,0.42619,1.28725,0.69041,1.13494,0.001151,0.001151,0.001151
6,1308.09,1.37782,0.83127,1.18455,0.78021,0.68017,0.71392,0.44413,1.19468,0.65332,1.10916,0.00112625,0.00112625,0.00112625
7,1525.57,1.35471,0.79484,1.17347,0.77506,0.68603,0.72217,0.44458,1.21339,0.64138,1.10416,0.0011015,0.0011015,0.0011015
8,1743.15,1.33576,0.78109,1.16076,0.69347,0.6726,0.69737,0.44046,1.18096,0.64965,1.10009,0.00107675,0.00107675,0.00107675
9,1960.64,1.33377,0.76988,1.159,0.82956,0.67185,0.73271,0.47085,1.15808,0.60208,1.07928,0.001052,0.001052,0.001052
10,2178.05,1.30836,0.75067,1.14861,0.85094,0.69585,0.74896,0.47488,1.19306,0.61157,1.08751,0.00102725,0.00102725,0.00102725
11,2395.72,1.29608,0.73797,1.14223,0.72736,0.68204,0.71674,0.45018,1.14739,0.62243,1.07998,0.0010025,0.0010025,0.0010025
12,2613.36,1.30024,0.73292,1.14541,0.7218,0.70842,0.71343,0.45293,1.18735,0.5942,1.08672,0.00097775,0.00097775,0.00097775
13,2831.03,1.27472,0.71782,1.13099,0.74046,0.7138,0.72672,0.47113,1.14179,0.58392,1.06942,0.000953,0.000953,0.000953
14,3049.05,1.26774,0.71378,1.12837,0.82996,0.71151,0.76379,0.4913,1.12087,0.56028,1.05762,0.00092825,0.00092825,0.00092825
15,3267.23,1.26776,0.70751,1.12694,0.84117,0.71967,0.76963,0.50277,1.11406,0.54843,1.05419,0.0009035,0.0009035,0.0009035
16,3484.76,1.24556,0.68891,1.11634,0.8463,0.6848,0.76006,0.49557,1.1133,0.56114,1.05294,0.00087875,0.00087875,0.00087875
17,3702.31,1.23572,0.67995,1.11218,0.90265,0.73002,0.79019,0.52403,1.08923,0.54719,1.048,0.000854,0.000854,0.000854
18,3919.78,1.24131,0.68093,1.11597,0.89054,0.71569,0.78249,0.51707,1.09012,0.53448,1.04684,0.00082925,0.00082925,0.00082925
19,4137.37,1.23326,0.67124,1.10735,0.81771,0.72477,0.77102,0.51642,1.0604,0.52813,1.02947,0.0008045,0.0008045,0.0008045
20,4354.98,1.22186,0.66842,1.10796,0.89542,0.72585,0.78326,0.50655,1.09078,0.53265,1.04575,0.00077975,0.00077975,0.00077975
21,4572.55,1.21435,0.66078,1.0993,0.86759,0.71667,0.78226,0.51772,1.07352,0.53468,1.0426,0.000755,0.000755,0.000755
22,4790.08,1.20327,0.65401,1.09549,0.85442,0.74662,0.7871,0.52597,1.06255,0.50691,1.03136,0.00073025,0.00073025,0.00073025
23,5007.64,1.19186,0.64607,1.0934,0.80464,0.7346,0.77613,0.51997,1.06377,0.51091,1.02999,0.0007055,0.0007055,0.0007055
24,5224.99,1.18718,0.64505,1.08848,0.91575,0.74135,0.79726,0.54396,1.01858,0.49667,1.01479,0.00068075,0.00068075,0.00068075
25,5442.38,1.18426,0.6407,1.08732,0.86344,0.74808,0.79933,0.53948,1.02335,0.49728,1.01322,0.000656,0.000656,0.000656
26,5659.81,1.16859,0.63052,1.08079,0.89518,0.729,0.79845,0.54507,1.00495,0.48815,1.00924,0.00063125,0.00063125,0.00063125
27,5877.35,1.16357,0.63113,1.07808,0.87501,0.76915,0.80454,0.55156,1.00689,0.48495,1.00889,0.0006065,0.0006065,0.0006065
28,6094.74,1.16143,0.62526,1.07754,0.83513,0.77275,0.80824,0.55186,1.00388,0.48895,1.00976,0.00058175,0.00058175,0.00058175
29,6312.18,1.15189,0.61956,1.07331,0.83867,0.78732,0.81627,0.55787,1.011,0.48704,1.00791,0.000557,0.000557,0.000557
