epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.873,1.73089,1.70333,1.37363,0.79502,0.47269,0.50323,0.28637,1.41343,1.04658,1.20059,0.000415052,0.000415052,0.000415052
2,375.482,1.48234,1.00741,1.22739,0.71796,0.57917,0.63016,0.34631,1.48016,0.81404,1.19992,0.00081525,0.00081525,0.00081525
3,562.037,1.43154,0.92809,1.20859,0.68205,0.61792,0.66735,0.39872,1.31083,0.7384,1.15188,0.00119895,0.00119895,0.00119895
4,748.93,1.41252,0.87965,1.19765,0.80601,0.61752,0.66836,0.38577,1.32711,0.72453,1.1512,0.00117575,0.00117575,0.00117575
5,935.814,1.38638,0.83126,1.1837,0.81518,0.67127,0.72168,0.45052,1.18901,0.65289,1.09452,0.001151,0.001151,0.001151
6,1122.61,1.35884,0.80352,1.17136,0.7131,0.67443,0.71201,0.44573,1.18937,0.63115,1.0877,0.00112625,0.00112625,0.00112625
7,1309.3,1.34424,0.77886,1.16656,0.80158,0.67222,0.73326,0.4636,1.17715,0.61884,1.08846,0.0011015,0.0011015,0.0011015
8,1496.02,1.32534,0.75362,1.15411,0.76065,0.71719,0.74875,0.48115,1.15495,0.60116,1.0777,0.00107675,0.00107675,0.00107675
9,1682.82,1.31988,0.74424,1.15146,0.77977,0.68864,0.73469,0.46564,1.15414,0.6168,1.0687,0.001052,0.001052,0.001052
10,1869.4,1.29635,0.72634,1.14259,0.81631,0.71486,0.75835,0.49346,1.1274,0.58474,1.07238,0.00102725,0.00102725,0.00102725
11,2055.96,1.28598,0.715,1.1388,0.84527,0.70816,0.76275,0.48567,1.13898,0.57712,1.07663,0.0010025,0.0010025,0.0010025
12,2242.78,1.28781,0.71251,1.1395,0.75036,0.72245,0.75844,0.49581,1.12194,0.5739,1.05609,0.00097775,0.00097775,0.00097775
13,2429.47,1.26114,0.69436,1.12695,0.8654,0.72764,0.78224,0.51921,1.09507,0.54554,1.04691,0.000953,0.000953,0.000953
14,2616.33,1.2561,0.68823,1.1226,0.80158,0.7171,0.77248,0.50765,1.11304,0.5561,1.06165,0.00092825,0.00092825,0.00092825
15,2803.24,1.25271,0.68476,1.12111,0.82714,0.75555,0.786,0.52092,1.07952,0.53522,1.04127,0.0009035,0.0009035,0.0009035
16,2990,1.23553,0.66978,1.11458,0.81265,0.75988,0.79789,0.52359,1.07967,0.54467,1.0469,0.00087875,0.00087875,0.00087875
17,3176.78,1.22696,0.66001,1.11097,0.84542,0.74715,0.80149,0.53411,1.07505,0.53932,1.04062,0.000854,0.000854,0.000854
18,3363.46,1.22364,0.65951,1.10774,0.83332,0.77187,0.8072,0.54191,1.04613,0.50529,1.02757,0.00082925,0.00082925,0.00082925
19,3550.31,1.21268,0.64916,1.10326,0.823,0.77217,0.80595,0.54433,1.03776,0.51553,1.02399,0.0008045,0.0008045,0.0008045
20,3737.12,1.20582,0.64603,1.10228,0.83754,0.74588,0.78338,0.51164,1.05222,0.51557,1.03181,0.00077975,0.00077975,0.00077975
21,3923.86,1.19633,0.64047,1.09362,0.81331,0.78291,0.80074,0.53562,1.03501,0.5239,1.02642,0.000755,0.000755,0.000755
22,4110.55,1.1841,0.63389,1.09028,0.82287,0.79158,0.81629,0.54695,1.03262,0.49348,1.01704,0.00073025,0.00073025,0.00073025
23,4297.31,1.17779,0.62441,1.08911,0.81973,0.79876,0.80981,0.54823,1.01467,0.49404,1.01568,0.0007055,0.0007055,0.0007055
24,4484.1,1.17275,0.62314,1.08477,0.82851,0.7808,0.81377,0.54498,1.03315,0.49753,1.02197,0.00068075,0.00068075,0.00068075
25,4670.9,1.1638,0.61886,1.08223,0.8585,0.78073,0.81398,0.54807,1.02073,0.4846,1.01271,0.000656,0.000656,0.000656
26,4857.76,1.15731,0.61027,1.07624,0.8502,0.79786,0.82703,0.56528,0.99355,0.47226,1.00348,0.00063125,0.00063125,0.00063125
27,5044.67,1.1551,0.61043,1.07402,0.86059,0.80017,0.83171,0.57291,0.98824,0.46968,1.00154,0.0006065,0.0006065,0.0006065
28,5231.51,1.15479,0.60561,1.07513,0.83585,0.82294,0.83726,0.57341,0.98238,0.46916,0.99978,0.00058175,0.00058175,0.00058175
29,5418.44,1.13928,0.6001,1.07044,0.82256,0.80778,0.82668,0.56048,1.00202,0.47669,1.00682,0.000557,0.000557,0.000557
30,5605.19,1.13053,0.59466,1.06632,0.8816,0.79117,0.83261,0.56839,0.98389,0.46856,0.99887,0.00053225,0.00053225,0.00053225
31,5792.19,1.13154,0.59416,1.06648,0.85422,0.8243,0.84082,0.5733,0.98038,0.46571,1.00224,0.0005075,0.0005075,0.0005075
32,5978.98,1.11524,0.58462,1.06088,0.87351,0.81642,0.84156,0.57045,0.97152,0.46022,0.99316,0.00048275,0.00048275,0.00048275
33,6165.88,1.1162,0.58337,1.06056,0.8872,0.80286,0.84381,0.57377,0.98158,0.45953,0.99835,0.000458,0.000458,0.000458
34,6352.67,1.10881,0.57537,1.05737,0.89067,0.80542,0.84714,0.58613,0.96265,0.451,0.98615,0.00043325,0.00043325,0.00043325
35,6539.48,1.10326,0.57239,1.05419,0.86727,0.81954,0.85085,0.58744,0.96209,0.44536,0.98811,0.0004085,0.0004085,0.0004085
36,6725.92,1.09741,0.5679,1.05103,0.86881,0.82188,0.85001,0.59597,0.95289,0.44325,0.98539,0.00038375,0.00038375,0.00038375
37,6912.9,1.09105,0.56403,1.04602,0.87275,0.81698,0.85111,0.59508,0.94968,0.44105,0.98267,0.000359,0.000359,0.000359
38,7099.77,1.08527,0.56141,1.04613,0.87061,0.82503,0.85384,0.58819,0.9503,0.44248,0.98633,0.00033425,0.00033425,0.00033425
